epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,95.072,1.22818,0.72724,1.25932,0.71115,0.55699,0.70433,0.41414,1.34481,1.54212,1.12988,0.00018487,0.00018487,0.00018487
82,96.2431,1.26025,0.75194,1.34334,0.71115,0.55699,0.70433,0.41414,1.34481,1.54212,1.12988,0.000178272,0.000178272,0.000178272
83,97.3797,1.14836,0.75875,1.35416,0.71115,0.55699,0.70433,0.41414,1.34481,1.54212,1.12988,0.000171454,0.000171454,0.000171454
84,98.5194,1.26495,0.81994,1.40091,0.64415,0.8,0.82033,0.50228,1.38317,1.27368,1.12671,0.000164416,0.000164416,0.000164416
85,99.6592,1.28982,0.69267,1.28998,0.64415,0.8,0.82033,0.50228,1.38317,1.27368,1.12671,0.000157158,0.000157158,0.000157158
86,100.796,1.32154,0.79926,1.48981,0.64415,0.8,0.82033,0.50228,1.38317,1.27368,1.12671,0.000149679,0.000149679,0.000149679
87,101.94,1.2643,0.7303,1.42912,0.64415,0.8,0.82033,0.50228,1.38317,1.27368,1.12671,0.000141981,0.000141981,0.000141981
88,103.103,1.29323,0.73412,1.40121,0.80097,0.91673,0.97557,0.58418,1.48132,0.87121,1.14136,0.000134063,0.000134063,0.000134063
89,104.296,1.42087,0.73196,1.38578,0.80097,0.91673,0.97557,0.58418,1.48132,0.87121,1.14136,0.000125925,0.000125925,0.000125925
90,105.441,1.34464,0.72056,1.45048,0.80097,0.91673,0.97557,0.58418,1.48132,0.87121,1.14136,0.000117567,0.000117567,0.000117567
91,111.639,1.3561,0.72028,1.63695,0.80097,0.91673,0.97557,0.58418,1.48132,0.87121,1.14136,0.000108989,0.000108989,0.000108989
92,112.866,1.24857,0.69144,1.33174,0.9179,0.96189,0.995,0.58411,1.59675,0.70688,1.16908,0.000100191,0.000100191,0.000100191
93,114.053,1.06925,0.60185,1.29391,0.9179,0.96189,0.995,0.58411,1.59675,0.70688,1.16908,9.11731e-05,9.11731e-05,9.11731e-05
94,115.215,1.13561,0.59416,1.26862,0.9179,0.96189,0.995,0.58411,1.59675,0.70688,1.16908,8.19351e-05,8.19351e-05,8.19351e-05
95,116.361,1.25065,0.68091,1.33942,0.9179,0.96189,0.995,0.58411,1.59675,0.70688,1.16908,7.24772e-05,7.24772e-05,7.24772e-05
96,117.542,1.10101,0.63163,1.23855,0.92269,0.97712,0.995,0.57614,1.64345,0.67489,1.18715,6.27993e-05,6.27993e-05,6.27993e-05
97,118.69,0.97088,0.53495,1.1823,0.92269,0.97712,0.995,0.57614,1.64345,0.67489,1.18715,5.29014e-05,5.29014e-05,5.29014e-05
98,119.815,1.19336,0.59551,1.30476,0.92269,0.97712,0.995,0.57614,1.64345,0.67489,1.18715,4.27835e-05,4.27835e-05,4.27835e-05
99,120.96,1.02226,0.60536,1.2076,0.92269,0.97712,0.995,0.57614,1.64345,0.67489,1.18715,3.24456e-05,3.24456e-05,3.24456e-05
100,122.107,1.07931,0.59227,1.18923,0.9233,0.98095,0.995,0.57782,1.63659,0.65534,1.18561,2.18878e-05,2.18878e-05,2.18878e-05
